Time,V_Current,U_Current,SBG EKF Velocity N,SBG EKF Velocity E,SBG EKF Velocity N Acc,SBG EKF Velocity E Acc,SBG EKF Latitude,SBG EKF Longitude,SBG Heading2,OD19_TRUE_WIND_SPEED,OD19_TRUE_WIND_DIRECTION,ADCP_DC3_V2,ADCP_DC4_V2
1474114070.9997568,0.007430932972429186,-0.3422394884269345,7.830014681185757,14.195504307190701,0.09781524573755487,0.09810575899634726,32.71224377187782,-117.82001367438008,60.21,3.2894616,278.61093,16.290824261275272,16.25
1474114071.9997559,0.007431807225197901,-0.3422531056002154,7.756575826167319,14.201003136938876,0.09784498143344422,0.09813529191593731,32.712279505229915,-117.8199352788561,60.11,3.273428,277.63272,16.19167962674961,16.166407465007776
1474114072.999755,0.007432640406082823,-0.34226684339595476,7.750971320999169,14.190699783491311,0.0980938603727851,0.09821444709276894,32.7123152623407,-117.8198568473507,60.01,3.3013394,272.03595,16.333592534992224,16.236391912908243
1474114073.999754,0.007433409448743808,-0.3422803808601478,7.7480837864972205,14.19896934859304,0.09815961782984192,0.09830896981628279,32.71235090455293,-117.8197785151799,59.89,3.5362267,273.27008,16.275272161741835,16.19362363919129
1474114074.999753,0.007434097042084406,-0.34229460610837886,7.771554389971412,14.203747916926122,0.09818274156997216,0.09840853297923624,32.7123866985337,-117.81970028827482,59.78,3.632832,277.36505,16.236391912908243,16.281104199066874
1474114075.999752,0.0074347102050681775,-0.34231042702285386,7.854278313798445,14.213259631701243,0.09823772291512364,0.09850360609556247,32.71242295264989,-117.81962205460852,59.67,3.9176955,280.4694,16.419129082426128,16.36275272161742
1474114076.999751,0.007435379365702664,-0.34232714642578504,7.943625954409966,14.262498815545399,0.09853221203778433,0.0988157005462083,32.712459627016045,-117.8195432556397,59.54,4.161907,280.8996,16.265552099533437,16.337480559875583
1474114077.9997501,0.007435776767966371,-0.342345051000938,8.004547834025573,14.279186262127771,0.09831325708661072,0.09860124288367261,32.712496340904465,-117.81946541470123,59.41,3.8868454,280.87,16.434681181959565,16.40746500777605
1474114078.9997492,0.007436145401832291,-0.3423650334435674,8.096952645997423,14.274904553664047,0.09834244238968771,0.09862866837815215,32.71253373965093,-117.81938730348367,59.3,3.687755,284.42197000000004,16.376360808709176,16.419129082426128
1474114079.9997482,0.007436423338025457,-0.34238641668630626,8.196213382584496,14.272770651762446,0.09830250270073744,0.09858486869750462,32.71257151116745,-117.81930927197797,59.23,3.6420486000000003,287.1568,16.5746500777605,16.419129082426128
1474114080.9997473,0.007436550795907654,-0.3424082085116225,8.18243108307407,14.269728312040007,0.09821419362239482,0.09849158435781859,32.712609242733265,-117.8192316912627,59.17,4.13825,287.71432000000004,16.547433903576984,16.51827371695179
1474114081.9997463,0.007436813410021881,-0.3424305682719092,8.169692560080236,14.274468874300991,0.09807430694392459,0.0983480187379183,32.712647401727295,-117.81915318701584,59.12,4.481571700000001,289.30515,16.504665629860032,16.51827371695179
1474114082.9997454,0.00743691157967529,-0.34245203855510853,8.134704726294819,14.293305981400225,0.09816815616044434,0.098200144121658,32.712685074256726,-117.8190753152698,59.12,4.418735,288.47076,16.446345256609643,16.535769828926906
1474114083.9997444,0.007437206277591032,-0.3424729215619083,8.084845394591337,14.316078107427476,0.09832186783732004,0.09811032870509206,32.712722884687246,-117.81899632648845,59.12,4.139469,286.77625,16.481337480559876,16.539657853810265
1474114084.9997435,0.0074373498581092505,-0.34249247155006657,8.04111338329167,14.301178800188366,0.09843884079397003,0.09811464494346275,32.712760082528845,-117.81891794861218,59.08,3.8512513999999998,288.94565,16.438569206842924,16.45217729393468
1474114085.9997425,0.007437603601618734,-0.34251235627227056,8.025029398975995,14.260835818146845,0.09855986203459523,0.09819496608401532,32.712797596180685,-117.81883877973348,59.03,3.8507910000000005,288.9688,16.337480559875583,16.395800933125972
